bias,cutoff,algorithm,tp,tn,fp,fn,precision,recall,fscore
0.2,0.30000000000000004,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.2,0.4,jaccard,206,639,19,18,0.9155555555555556,0.9196428571428571,0.9175946547884187
0.2,0.5,jaccard,206,639,19,18,0.9155555555555556,0.9196428571428571,0.9175946547884187
0.2,0.6000000000000001,jaccard,196,657,11,28,0.9468599033816425,0.875,0.9095127610208817
0.2,0.7000000000000001,jaccard,186,678,0,38,1.0,0.8303571428571429,0.9073170731707317
0.2,0.8,jaccard,182,682,0,42,1.0,0.8125,0.896551724137931
0.2,0.9,jaccard,180,684,0,44,1.0,0.8035714285714286,0.8910891089108911
0.2,1.0,jaccard,178,686,0,46,1.0,0.7946428571428571,0.8855721393034826
0.30000000000000004,0.0,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.30000000000000004,0.1,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.30000000000000004,0.2,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.30000000000000004,0.30000000000000004,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.30000000000000004,0.4,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.30000000000000004,0.5,jaccard,206,639,19,18,0.9155555555555556,0.9196428571428571,0.9175946547884187
0.30000000000000004,0.6000000000000001,jaccard,202,651,11,22,0.9483568075117371,0.9017857142857143,0.9244851258581236
0.30000000000000004,0.7000000000000001,jaccard,192,672,0,32,1.0,0.8571428571428571,0.923076923076923
0.30000000000000004,0.8,jaccard,188,676,0,36,1.0,0.8392857142857143,0.9126213592233009
0.30000000000000004,0.9,jaccard,180,684,0,44,1.0,0.8035714285714286,0.8910891089108911
0.30000000000000004,1.0,jaccard,178,686,0,46,1.0,0.7946428571428571,0.8855721393034826
0.4,0.0,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.4,0.1,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.4,0.2,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.4,0.30000000000000004,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.4,0.4,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.4,0.5,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.4,0.6000000000000001,jaccard,204,649,11,20,0.9488372093023256,0.9107142857142857,0.929384965831435
0.4,0.7000000000000001,jaccard,200,664,0,24,1.0,0.8928571428571429,0.9433962264150945
0.4,0.8,jaccard,192,672,0,32,1.0,0.8571428571428571,0.923076923076923
0.4,0.9,jaccard,186,678,0,38,1.0,0.8303571428571429,0.9073170731707317
0.4,1.0,jaccard,178,686,0,46,1.0,0.7946428571428571,0.8855721393034826
0.5,0.0,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.5,0.1,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.5,0.2,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.5,0.30000000000000004,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.5,0.4,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.5,0.5,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.5,0.6000000000000001,jaccard,208,645,11,16,0.9497716894977168,0.9285714285714286,0.9390519187358916
0.5,0.7000000000000001,jaccard,206,658,0,18,1.0,0.9196428571428571,0.9581395348837208
0.5,0.8,jaccard,200,664,0,24,1.0,0.8928571428571429,0.9433962264150945
0.5,0.9,jaccard,190,674,0,34,1.0,0.8482142857142857,0.9178743961352658
0.5,1.0,jaccard,184,680,0,40,1.0,0.8214285714285714,0.9019607843137255
0.6000000000000001,0.0,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.6000000000000001,0.1,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.6000000000000001,0.2,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.6000000000000001,0.30000000000000004,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.6000000000000001,0.4,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.6000000000000001,0.5,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.6000000000000001,0.6000000000000001,jaccard,208,645,11,16,0.9497716894977168,0.9285714285714286,0.9390519187358916
0.6000000000000001,0.7000000000000001,jaccard,210,654,0,14,1.0,0.9375,0.967741935483871
0.6000000000000001,0.8,jaccard,206,658,0,18,1.0,0.9196428571428571,0.9581395348837208
0.6000000000000001,0.9,jaccard,198,666,0,26,1.0,0.8839285714285714,0.9383886255924171
0.6000000000000001,1.0,jaccard,188,676,0,36,1.0,0.8392857142857143,0.9126213592233009
0.7000000000000001,0.0,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.7000000000000001,0.1,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.7000000000000001,0.2,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.7000000000000001,0.30000000000000004,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.7000000000000001,0.4,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.7000000000000001,0.5,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.7000000000000001,0.6000000000000001,jaccard,208,645,11,16,0.9497716894977168,0.9285714285714286,0.9390519187358916
0.7000000000000001,0.7000000000000001,jaccard,210,654,0,14,1.0,0.9375,0.967741935483871
0.7000000000000001,0.8,jaccard,210,654,0,14,1.0,0.9375,0.967741935483871
0.7000000000000001,0.9,jaccard,204,660,0,20,1.0,0.9107142857142857,0.9532710280373832
0.7000000000000001,1.0,jaccard,196,668,0,28,1.0,0.875,0.9333333333333333
0.8,0.0,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
